variable,description,source
Ind_ag,"Population employed in agriculture, forestry, fishing, and hunting","American Community Survey, 5 year sample, 2016-2020"
Ind_arts,"Population employed in arts, entertainment, and recreation","American Community Survey, 5 year sample, 2016-2020"
Ind_const,Population employed in construction,"American Community Survey, 5 year sample, 2016-2020"
Ind_edhlth,"Population employed in educational services, health care, or social assistance","American Community Survey, 5 year sample, 2016-2020"
Ind_finan,"Population employed in finance, insurance, and real estate","American Community Survey, 5 year sample, 2016-2020"
Ind_info,Population employed in information,"American Community Survey, 5 year sample, 2016-2020"
Ind_manf,Population employed in manufacturing,"American Community Survey, 5 year sample, 2016-2020"
Ind_other,Population employed in other services,"American Community Survey, 5 year sample, 2016-2020"
Ind_prof,"Population employed in professional, scientific and management, administration, or waste services","American Community Survey, 5 year sample, 2016-2020"
Ind_pubad,Population employed in public administration,"American Community Survey, 5 year sample, 2016-2020"
Ind_retail,Population employed in retail,"American Community Survey, 5 year sample, 2016-2020"
Ind_totpop,Total population for industry,"American Community Survey, 5 year sample, 2016-2020"
Ind_trans,"Population employed in transportation, warehousing, and utilites","American Community Survey, 5 year sample, 2016-2020"
Ind_whlsl,Population employed in wholesale trade,"American Community Survey, 5 year sample, 2016-2020"
Pov_Ov65,Poverty over 65,"American Community Survey, 5 year sample, 2016-2020"
Pov_pop,Population below poverty line,"American Community Survey, 5 year sample, 2016-2020"
Pov_total,Total population for poverty rate,"American Community Survey, 5 year sample, 2016-2020"
Pov_Und18,Poverty under 18,"American Community Survey, 5 year sample, 2016-2020"
Rce_AI,American Indian/non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
Rce_AsnNH,Asian non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
Rce_BlkNH,Black non-Hispanic pouplation,"American Community Survey, 5 year sample, 2016-2020"
Rce_Hisp,Hispanic/Latinx population,"American Community Survey, 5 year sample, 2016-2020"
Rce_HPI,Hawaiian/Pacific Islander population,"American Community Survey, 5 year sample, 2016-2020"
Rce_OthNH,Other race non-Hispanic,"American Community Survey, 5 year sample, 2016-2020"
Rce_WhtNH,White non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
Rent30,Housing stressed: rent > 30% of income,"American Community Survey, 5 year sample, 2016-2020"
RentPop,Total population for rent/income ratio,"American Community Survey, 5 year sample, 2016-2020"
Sch_grad,Enrolled in grad school,"American Community Survey, 5 year sample, 2016-2020"
Sch_Kpre,Enrolled in nursery school and kindergarten,"American Community Survey, 5 year sample, 2016-2020"
Sch_totpop,Total population for education,"American Community Survey, 5 year sample, 2016-2020"
Sch_ugrad,Total in undergraduate,"American Community Survey, 5 year sample, 2016-2020"
TotPop,Total population estimate,"American Community Survey, 5 year sample, 2016-2020"
Trn_car,"Commute: used car, truck, or van alone","American Community Survey, 5 year sample, 2016-2020"
Trn_carpool,Commute: carpooled in car,"American Community Survey, 5 year sample, 2016-2020"
Trn_home,Commute: Worked at home,"American Community Survey, 5 year sample, 2016-2020"
Trn_noveh,Commute: no available vehicle,"American Community Survey, 5 year sample, 2016-2020"
Trn_pub,Commute: used public transit,"American Community Survey, 5 year sample, 2016-2020"
Trn_taxi,"Commute: other--taxi, motorcycle, or bicycle","American Community Survey, 5 year sample, 2016-2020"
Trn_totpop,Total population for means of transportation,"American Community Survey, 5 year sample, 2016-2020"
Trn_walk,Walked to work,"American Community Survey, 5 year sample, 2016-2020"
Inet_pop,Total population for internet,"American Community Survey, 5 year sample, 2016-2020"
Inet_any,Internet: households with any subscription,"American Community Survey, 5 year sample, 2016-2020"
Inet_broad,Internet: households with broadband,"American Community Survey, 5 year sample, 2016-2020"
Age05,Percent Age under 5 years,"American Community Survey, 5 year sample, 2016-2020"
Age18_24,Percent Age 18-64,"American Community Survey, 5 year sample, 2016-2020"
AgeO65,Percent Age 65 and older,"American Community Survey, 5 year sample, 2016-2020"
AgeU18,Percent Age under 18,"American Community Survey, 5 year sample, 2016-2020"
Ed_ba,Percent Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2016-2020"
Ed_hsgrad,Percent Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2016-2020"
Ed_lesshs,Percent Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2016-2020"
Ed_ma,Percent Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2016-2020"
Ed_prof_doc,Percent Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2016-2020"
Ed_somecol,Percent Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2016-2020"
Empl_labor,Percent Population in labor force,"American Community Survey, 5 year sample, 2016-2020"
Empl_unemp,Percent Population unemployed,"American Community Survey, 5 year sample, 2016-2020"
HInsur_FBNat,Percent Has health insurance foreign born and naturalized,"American Community Survey, 5 year sample, 2016-2020"
HInsur_FBNC,Percent Has health insurance foreign born non-citizen,"American Community Survey, 5 year sample, 2016-2020"
HInsur_Nat,Percent Has health insurance native born,"American Community Survey, 5 year sample, 2016-2020"
HousOwn,Percent Population in owner occupied housing,"American Community Survey, 5 year sample, 2016-2020"
HousRent,Percent Population in renter occupied housing,"American Community Survey, 5 year sample, 2016-2020"
Inc_10K,"Percent Household income < $10,000","American Community Survey, 5 year sample, 2016-2020"
Inc_200K,"Percent Household income > $200,000","American Community Survey, 5 year sample, 2016-2020"
Inc100K_149K,"Percent Household income $100,000 - $149,999","American Community Survey, 5 year sample, 2016-2020"
Inc10K_24K,"Percent Household income $10,000 - $24,999","American Community Survey, 5 year sample, 2016-2020"
Inc150K_199K,"Percent Houshold income $150,000 - $199,999","American Community Survey, 5 year sample, 2016-2020"
Inc25K_49K,"Percent Household income $25,000 - $49,999","American Community Survey, 5 year sample, 2016-2020"
Inc50K_74K,"Percent Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2016-2020"
Inc75K_99K,"Percent Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2016-2020"
Ind_ag,"Percent Population employed in agriculture, forestry, fishing, and hunting","American Community Survey, 5 year sample, 2016-2020"
Ind_arts,"Percent Population employed in arts, entertainment, and recreation","American Community Survey, 5 year sample, 2016-2020"
Ind_const,Percent Population employed in construction,"American Community Survey, 5 year sample, 2016-2020"
Ind_edhlth,"Percent Population employed in educational services, health care, or social assistance","American Community Survey, 5 year sample, 2016-2020"
Ind_finan,"Percent Population employed in finance, insurance, and real estate","American Community Survey, 5 year sample, 2016-2020"
Ind_info,Percent Population employed in information,"American Community Survey, 5 year sample, 2016-2020"
Ind_manf,Percent Population employed in manufacturing,"American Community Survey, 5 year sample, 2016-2020"
Ind_other,Percent Population employed in other services,"American Community Survey, 5 year sample, 2016-2020"
Ind_prof,"Percent Population employed in professional, scientific and management, administration, or waste services","American Community Survey, 5 year sample, 2016-2020"
Ind_pubad,Percent Population employed in public administration,"American Community Survey, 5 year sample, 2016-2020"
Ind_retail,Percent Population employed in retail,"American Community Survey, 5 year sample, 2016-2020"
Ind_trans,"Percent Population employed in transportation, warehousing, and utilites","American Community Survey, 5 year sample, 2016-2020"
Ind_whlsl,Percent Population employed in wholesale trade,"American Community Survey, 5 year sample, 2016-2020"
Pov_Ov65,Percent Poverty over 65,"American Community Survey, 5 year sample, 2016-2020"
Pov_pop,Percent Population below poverty line,"American Community Survey, 5 year sample, 2016-2020"
Pov_Und18,Percent Poverty under 18,"American Community Survey, 5 year sample, 2016-2020"
Rce_AI,Percent American Indian/non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
Rce_AsnNH,Percent Asian non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
Rce_BlkNH,Percent Black non-Hispanic pouplation,"American Community Survey, 5 year sample, 2016-2020"
Rce_Hisp,Percent Hispanic/Latinx population,"American Community Survey, 5 year sample, 2016-2020"
Rce_HPI,Percent Hawaiian/Pacific Islander population,"American Community Survey, 5 year sample, 2016-2020"
Rce_OthNH,Percent Other race non-Hispanic,"American Community Survey, 5 year sample, 2016-2020"
Rce_WhtNH,Percent White non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
Rent30,Percent Housing stressed: rent > 30% of income,"American Community Survey, 5 year sample, 2016-2020"
Sch_grad,Percent Enrolled in grad school,"American Community Survey, 5 year sample, 2016-2020"
Sch_Kpre,Percent Enrolled in nursery school and kindergarten,"American Community Survey, 5 year sample, 2016-2020"
Sch_ugrad,Percent Total in undergraduate,"American Community Survey, 5 year sample, 2016-2020"
Trn_car,"Percent Commute: used car, truck, or van alone","American Community Survey, 5 year sample, 2016-2020"
Trn_carpool,Percent Commute: carpooled in car,"American Community Survey, 5 year sample, 2016-2020"
Trn_home,Percent Commute: Worked at home,"American Community Survey, 5 year sample, 2016-2020"
Trn_noveh,Percent Commute: no available vehicle,"American Community Survey, 5 year sample, 2016-2020"
Trn_pub,Percent Commute: used public transit,"American Community Survey, 5 year sample, 2016-2020"
Trn_taxi,"Percent Commute: other--taxi, motorcycle, or bicycle","American Community Survey, 5 year sample, 2016-2020"
Trn_walk,Percent Walked to work,"American Community Survey, 5 year sample, 2016-2020"
Inet_any,Percent Internet: households with any subscription,"American Community Survey, 5 year sample, 2016-2020"
Inet_broad,Percent Internet: households with broadband,"American Community Survey, 5 year sample, 2016-2020"
