GEOID,var,est,moe,type,description,source
13059000100,Ind_const,5,8,count,Population employed in construction,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_edhlth,272,100,count,"Population employed in educational services, health care, or social assistance","American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_finan,34,30,count,"Population employed in finance, insurance, and real estate","American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_info,59,91,count,Population employed in information,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_manf,6,9,count,Population employed in manufacturing,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_other,51,43,count,Population employed in other services,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_prof,151,73,count,"Population employed in professional, scientific and management, administration, or waste services","American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_pubad,17,28,count,Population employed in public administration,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_retail,45,33,count,Population employed in retail,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_trans,22,36,count,"Population employed in transportation, warehousing, and utilites","American Community Survey, 5 year sample, 2016-2020"
13059000100,Ind_whlsl,0,14,count,Population employed in wholesale trade,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Inet_any,779,123,count,Internet: households with any subscription,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Inet_broad,700,138,count,Internet: households with broadband,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Pov_Ov65,39,39,count,Poverty over 65,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Pov_Und18,40,66,count,Poverty under 18,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_AI,0,14,count,American Indian/non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_AsnNH,62,48,count,Asian non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_BlkNH,302,155,count,Black non-Hispanic pouplation,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_Hisp,123,74,count,Hispanic/Latinx population,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_HPI,0,14,count,Hawaiian/Pacific Islander population,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_OthNH,0,14,count,Other race non-Hispanic,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rce_WhtNH,2034,307,count,White non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Rent30,630,113,count,Housing stressed: rent > 30% of income,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Sch_grad,220,68,count,Enrolled in grad school,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Sch_Kpre,0,20,count,Enrolled in nursery school and kindergarten,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Sch_ugrad,1939,300,count,Total in undergraduate,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_car,556,146,count,"Commute: used car, truck, or van alone","American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_carpool,25,36,count,Commute: carpooled in car,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_home,82,93,count,Commute: Worked at home,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_noveh,22,36,count,Commute: no available vehicle,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_pub,0,14,count,Commute: used public transit,"American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_taxi,0,14,count,"Commute: other--taxi, motorcycle, or bicycle","American Community Survey, 5 year sample, 2016-2020"
13059000100,Trn_walk,143,72,count,Walked to work,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Age05,91,52,count,Age under 5 years,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Age18_24,373,116,count,Age 18-24,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Age18_64,1137,199,count,Age 18-64,"American Community Survey, 5 year sample, 2016-2020"
13059000401,AgeO65,16,50,count,Age 65 and older,"American Community Survey, 5 year sample, 2016-2020"
13059000401,AgeU18,168,91,count,Age under 18,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ed_ba,375,124,count,Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ed_hsgrad,18,16,count,Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ed_lesshs,13,11,count,Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ed_ma,254,71,count,Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ed_prof_doc,144,62,count,Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ed_somecol,47,30,count,Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Empl_labor,824,160,count,Population in labor force,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Empl_unemp,8,12,count,Population unemployed,"American Community Survey, 5 year sample, 2016-2020"
13059000401,HInsur_FBNat,30,40,count,Has health insurance foreign born and naturalized,"American Community Survey, 5 year sample, 2016-2020"
13059000401,HInsur_FBNC,481,149,count,Has health insurance foreign born non-citizen,"American Community Survey, 5 year sample, 2016-2020"
13059000401,HInsur_Nat,707,134,count,Has health insurance native born,"American Community Survey, 5 year sample, 2016-2020"
13059000401,HousOwn,27,22,count,Population in owner occupied housing,"American Community Survey, 5 year sample, 2016-2020"
13059000401,HousRent,1182,204,count,Population in renter occupied housing,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc_10K,168,65,count,"Household income < $10,000","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc_200K,0,14,count,"Household income > $200,000","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc100K_149K,13,12,count,"Household income $100,000 - $149,999","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc10K_24K,209,71,count,"Household income $10,000 - $24,999","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc150K_199K,10,16,count,"Houshold income $150,000 - $199,999","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc25K_49K,165,56,count,"Household income $25,000 - $49,999","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc50K_74K,83,52,count,"Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2016-2020"
13059000401,Inc75K_99K,75,98,count,"Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_ag,0,14,count,"Population employed in agriculture, forestry, fishing, and hunting","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_arts,48,44,count,"Population employed in arts, entertainment, and recreation","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_const,5,7,count,Population employed in construction,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_edhlth,499,100,count,"Population employed in educational services, health care, or social assistance","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_finan,0,14,count,"Population employed in finance, insurance, and real estate","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_info,5,7,count,Population employed in information,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_manf,9,13,count,Population employed in manufacturing,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_other,11,13,count,Population employed in other services,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_prof,163,107,count,"Population employed in professional, scientific and management, administration, or waste services","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_pubad,8,11,count,Population employed in public administration,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_retail,48,26,count,Population employed in retail,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_trans,22,22,count,"Population employed in transportation, warehousing, and utilites","American Community Survey, 5 year sample, 2016-2020"
13059000401,Ind_whlsl,0,14,count,Population employed in wholesale trade,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Inet_any,502,132,count,Internet: households with any subscription,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Inet_broad,477,132,count,Internet: households with broadband,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Pov_Ov65,16,22,count,Poverty over 65,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Pov_Und18,168,92,count,Poverty under 18,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Rce_AI,0,14,count,American Indian/non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Rce_AsnNH,433,148,count,Asian non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Rce_BlkNH,82,59,count,Black non-Hispanic pouplation,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Rce_Hisp,189,136,count,Hispanic/Latinx population,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Rce_HPI,0,14,count,Hawaiian/Pacific Islander population,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Rce_OthNH,0,14,count,Other race non-Hispanic,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Rce_WhtNH,560,142,count,White non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Rent30,386,91,count,Housing stressed: rent > 30% of income,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Sch_grad,445,101,count,Enrolled in grad school,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Sch_Kpre,20,24,count,Enrolled in nursery school and kindergarten,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Sch_ugrad,224,72,count,Total in undergraduate,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Trn_car,324,122,count,"Commute: used car, truck, or van alone","American Community Survey, 5 year sample, 2016-2020"
13059000401,Trn_carpool,40,13,count,Commute: carpooled in car,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Trn_home,80,58,count,Commute: Worked at home,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Trn_noveh,95,47,count,Commute: no available vehicle,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Trn_pub,226,57,count,Commute: used public transit,"American Community Survey, 5 year sample, 2016-2020"
13059000401,Trn_taxi,36,25,count,"Commute: other--taxi, motorcycle, or bicycle","American Community Survey, 5 year sample, 2016-2020"
13059000401,Trn_walk,43,28,count,Walked to work,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Age05,13,28,count,Age under 5 years,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Age18_24,4737,520,count,Age 18-24,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Age18_64,8538,671,count,Age 18-64,"American Community Survey, 5 year sample, 2016-2020"
13059000402,AgeO65,4,67,count,Age 65 and older,"American Community Survey, 5 year sample, 2016-2020"
13059000402,AgeU18,37,59,count,Age under 18,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Ed_ba,52,35,count,Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Ed_hsgrad,29,34,count,Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Ed_lesshs,4,6,count,Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Ed_ma,40,22,count,Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Ed_prof_doc,4,21,count,Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Ed_somecol,60,53,count,Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Empl_labor,2329,300,count,Population in labor force,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Empl_unemp,528,173,count,Population unemployed,"American Community Survey, 5 year sample, 2016-2020"
13059000402,HInsur_FBNat,243,105,count,Has health insurance foreign born and naturalized,"American Community Survey, 5 year sample, 2016-2020"
13059000402,HInsur_FBNC,195,107,count,Has health insurance foreign born non-citizen,"American Community Survey, 5 year sample, 2016-2020"
13059000402,HInsur_Nat,7635,660,count,Has health insurance native born,"American Community Survey, 5 year sample, 2016-2020"
13059000402,HousOwn,0,20,count,Population in owner occupied housing,"American Community Survey, 5 year sample, 2016-2020"
13059000402,HousRent,560,88,count,Population in renter occupied housing,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Inc_10K,190,60,count,"Household income < $10,000","American Community Survey, 5 year sample, 2016-2020"
13059000402,Inc_200K,0,20,count,"Household income > $200,000","American Community Survey, 5 year sample, 2016-2020"
13059000402,Inc100K_149K,0,28,count,"Household income $100,000 - $149,999","American Community Survey, 5 year sample, 2016-2020"
13059000402,Inc10K_24K,73,35,count,"Household income $10,000 - $24,999","American Community Survey, 5 year sample, 2016-2020"
13059000402,Inc150K_199K,0,20,count,"Houshold income $150,000 - $199,999","American Community Survey, 5 year sample, 2016-2020"
13059000402,Inc25K_49K,46,33,count,"Household income $25,000 - $49,999","American Community Survey, 5 year sample, 2016-2020"
13059000402,Inc50K_74K,16,21,count,"Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2016-2020"
13059000402,Inc75K_99K,0,20,count,"Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2016-2020"
13059000402,Ind_ag,22,27,count,"Population employed in agriculture, forestry, fishing, and hunting","American Community Survey, 5 year sample, 2016-2020"
13059000402,Ind_arts,521,121,count,"Population employed in arts, entertainment, and recreation","American Community Survey, 5 year sample, 2016-2020"
13059000402,Ind_const,0,20,count,Population employed in construction,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Ind_edhlth,737,197,count,"Population employed in educational services, health care, or social assistance","American Community Survey, 5 year sample, 2016-2020"
13059000402,Ind_finan,17,16,count,"Population employed in finance, insurance, and real estate","American Community Survey, 5 year sample, 2016-2020"
13059000402,Ind_info,82,59,count,Population employed in information,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Ind_manf,6,10,count,Population employed in manufacturing,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Ind_other,76,60,count,Population employed in other services,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Ind_prof,84,60,count,"Population employed in professional, scientific and management, administration, or waste services","American Community Survey, 5 year sample, 2016-2020"
13059000402,Ind_pubad,8,8,count,Population employed in public administration,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Ind_retail,237,91,count,Population employed in retail,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Ind_trans,7,8,count,"Population employed in transportation, warehousing, and utilites","American Community Survey, 5 year sample, 2016-2020"
13059000402,Ind_whlsl,4,7,count,Population employed in wholesale trade,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Inet_any,271,46,count,Internet: households with any subscription,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Inet_broad,243,46,count,Internet: households with broadband,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Pov_Ov65,4,6,count,Poverty over 65,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Pov_Und18,23,26,count,Poverty under 18,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Rce_AI,0,20,count,American Indian/non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Rce_AsnNH,888,182,count,Asian non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Rce_BlkNH,1120,349,count,Black non-Hispanic pouplation,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Rce_Hisp,546,152,count,Hispanic/Latinx population,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Rce_HPI,0,20,count,Hawaiian/Pacific Islander population,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Rce_OthNH,15,27,count,Other race non-Hispanic,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Rce_WhtNH,5666,468,count,White non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Rent30,215,54,count,Housing stressed: rent > 30% of income,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Sch_grad,100,38,count,Enrolled in grad school,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Sch_Kpre,0,28,count,Enrolled in nursery school and kindergarten,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Sch_ugrad,8296,786,count,Total in undergraduate,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Trn_car,160,60,count,"Commute: used car, truck, or van alone","American Community Survey, 5 year sample, 2016-2020"
13059000402,Trn_carpool,5,7,count,Commute: carpooled in car,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Trn_home,0,20,count,Commute: Worked at home,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Trn_noveh,33,31,count,Commute: no available vehicle,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Trn_pub,0,20,count,Commute: used public transit,"American Community Survey, 5 year sample, 2016-2020"
13059000402,Trn_taxi,0,20,count,"Commute: other--taxi, motorcycle, or bicycle","American Community Survey, 5 year sample, 2016-2020"
13059000402,Trn_walk,120,46,count,Walked to work,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Age05,187,111,count,Age under 5 years,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Age18_24,942,254,count,Age 18-24,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Age18_64,2408,455,count,Age 18-64,"American Community Survey, 5 year sample, 2016-2020"
13059000600,AgeO65,121,73,count,Age 65 and older,"American Community Survey, 5 year sample, 2016-2020"
13059000600,AgeU18,484,188,count,Age under 18,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Ed_ba,375,255,count,Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Ed_hsgrad,183,95,count,Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Ed_lesshs,189,101,count,Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Ed_ma,268,223,count,Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Ed_prof_doc,107,52,count,Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Ed_somecol,245,108,count,Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Empl_labor,1500,480,count,Population in labor force,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Empl_unemp,226,208,count,Population unemployed,"American Community Survey, 5 year sample, 2016-2020"
13059000600,HInsur_FBNat,48,51,count,Has health insurance foreign born and naturalized,"American Community Survey, 5 year sample, 2016-2020"
13059000600,HInsur_FBNC,77,70,count,Has health insurance foreign born non-citizen,"American Community Survey, 5 year sample, 2016-2020"
13059000600,HInsur_Nat,2561,543,count,Has health insurance native born,"American Community Survey, 5 year sample, 2016-2020"
13059000600,HousOwn,190,149,count,Population in owner occupied housing,"American Community Survey, 5 year sample, 2016-2020"
13059000600,HousRent,2089,556,count,Population in renter occupied housing,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Inc_10K,197,144,count,"Household income < $10,000","American Community Survey, 5 year sample, 2016-2020"
13059000600,Inc_200K,36,25,count,"Household income > $200,000","American Community Survey, 5 year sample, 2016-2020"
13059000600,Inc100K_149K,227,248,count,"Household income $100,000 - $149,999","American Community Survey, 5 year sample, 2016-2020"
13059000600,Inc10K_24K,275,145,count,"Household income $10,000 - $24,999","American Community Survey, 5 year sample, 2016-2020"
13059000600,Inc150K_199K,20,26,count,"Houshold income $150,000 - $199,999","American Community Survey, 5 year sample, 2016-2020"
13059000600,Inc25K_49K,309,117,count,"Household income $25,000 - $49,999","American Community Survey, 5 year sample, 2016-2020"
13059000600,Inc50K_74K,73,59,count,"Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2016-2020"
13059000600,Inc75K_99K,19,21,count,"Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2016-2020"
13059000600,Ind_ag,0,14,count,"Population employed in agriculture, forestry, fishing, and hunting","American Community Survey, 5 year sample, 2016-2020"
13059000600,Ind_arts,342,159,count,"Population employed in arts, entertainment, and recreation","American Community Survey, 5 year sample, 2016-2020"
13059000600,Ind_const,0,14,count,Population employed in construction,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Ind_edhlth,390,130,count,"Population employed in educational services, health care, or social assistance","American Community Survey, 5 year sample, 2016-2020"
13059000600,Ind_finan,68,76,count,"Population employed in finance, insurance, and real estate","American Community Survey, 5 year sample, 2016-2020"
13059000600,Ind_info,3,8,count,Population employed in information,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Ind_manf,257,250,count,Population employed in manufacturing,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Ind_other,71,60,count,Population employed in other services,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Ind_prof,63,47,count,"Population employed in professional, scientific and management, administration, or waste services","American Community Survey, 5 year sample, 2016-2020"
13059000600,Ind_pubad,9,14,count,Population employed in public administration,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Ind_retail,56,37,count,Population employed in retail,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Ind_trans,38,51,count,"Population employed in transportation, warehousing, and utilites","American Community Survey, 5 year sample, 2016-2020"
13059000600,Ind_whlsl,0,14,count,Population employed in wholesale trade,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Inet_any,991,306,count,Internet: households with any subscription,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Inet_broad,898,295,count,Internet: households with broadband,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Pov_Ov65,121,61,count,Poverty over 65,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Pov_Und18,481,234,count,Poverty under 18,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Rce_AI,0,14,count,American Indian/non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Rce_AsnNH,160,82,count,Asian non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Rce_BlkNH,1104,375,count,Black non-Hispanic pouplation,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Rce_Hisp,104,88,count,Hispanic/Latinx population,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Rce_HPI,0,14,count,Hawaiian/Pacific Islander population,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Rce_OthNH,0,14,count,Other race non-Hispanic,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Rce_WhtNH,1608,529,count,White non-Hispanic population,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Rent30,459,170,count,Housing stressed: rent > 30% of income,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Sch_grad,253,111,count,Enrolled in grad school,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Sch_Kpre,72,81,count,Enrolled in nursery school and kindergarten,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Sch_ugrad,918,180,count,Total in undergraduate,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Trn_car,625,218,count,"Commute: used car, truck, or van alone","American Community Survey, 5 year sample, 2016-2020"
13059000600,Trn_carpool,44,38,count,Commute: carpooled in car,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Trn_home,38,32,count,Commute: Worked at home,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Trn_noveh,68,78,count,Commute: no available vehicle,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Trn_pub,29,29,count,Commute: used public transit,"American Community Survey, 5 year sample, 2016-2020"
13059000600,Trn_taxi,12,14,count,"Commute: other--taxi, motorcycle, or bicycle","American Community Survey, 5 year sample, 2016-2020"
13059000600,Trn_walk,423,273,count,Walked to work,"American Community Survey, 5 year sample, 2016-2020"
13059000900,Age05,447,365,count,Age under 5 years,"American Community Survey, 5 year sample, 2016-2020"
13059000900,Age18_24,840,282,count,Age 18-24,"American Community Survey, 5 year sample, 2016-2020"
13059000900,Age18_64,2496,439,count,Age 18-64,"American Community Survey, 5 year sample, 2016-2020"
13059000900,AgeO65,514,187,count,Age 65 and older,"American Community Survey, 5 year sample, 2016-2020"
13059000900,AgeU18,1100,431,count,Age under 18,"American Community Survey, 5 year sample, 2016-2020"
13059000900,Ed_ba,192,88,count,Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2016-2020"
13059000900,Ed_hsgrad,730,205,count,Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2016-2020"
13059000900,Ed_lesshs,429,202,count,Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2016-2020"
13059000900,Ed_ma,85,63,count,Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2016-2020"
13059000900,Ed_prof_doc,11,28,count,Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2016-2020"
13059000900,Ed_somecol,791,267,count,Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2016-2020"
13059000900,Empl_labor,1843,353,count,Population in labor force,"American Community Survey, 5 year sample, 2016-2020"
