variable,description,source,year_last_updated
Inc50K_74K,"Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2012-2016",2018
Inc75K_99K,"Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2012-2016",2018
Ind_ag,"Population employed in agriculture, forestry, fishing, and hunting","American Community Survey, 5 year sample, 2012-2016",2018
Ind_arts,"Population employed in arts, entertainment, and recreation","American Community Survey, 5 year sample, 2012-2016",2018
Ind_const,Population employed in construction,"American Community Survey, 5 year sample, 2012-2016",2018
Ind_edhlth,"Population employed in educational services, health care, or social assistance","American Community Survey, 5 year sample, 2012-2016",2018
Ind_finan,"Population employed in finance, insurance, and real estate","American Community Survey, 5 year sample, 2012-2016",2018
Ind_info,Population employed in information,"American Community Survey, 5 year sample, 2012-2016",2018
Ind_manf,Population employed in manufacturing,"American Community Survey, 5 year sample, 2012-2016",2018
Ind_other,Population employed in other services,"American Community Survey, 5 year sample, 2012-2016",2018
Ind_prof,"Population employed in professional, scientific and management, administration, or waste services","American Community Survey, 5 year sample, 2012-2016",2018
Ind_pubad,Population employed in public administration,"American Community Survey, 5 year sample, 2012-2016",2018
Ind_retail,Population employed in retail,"American Community Survey, 5 year sample, 2012-2016",2018
Ind_totpop,Total population for industry,"American Community Survey, 5 year sample, 2012-2016",2018
Ind_trans,"Population employed in transportation, warehousing, and utilites","American Community Survey, 5 year sample, 2012-2016",2018
Ind_whlsl,Population employed in wholesale trade,"American Community Survey, 5 year sample, 2012-2016",2018
Pov_Ov65,Poverty over 65,"American Community Survey, 5 year sample, 2012-2016",2018
Pov_total,Total population for poverty rate,"American Community Survey, 5 year sample, 2012-2016",2018
Pov_Und18,Poverty under 18,"American Community Survey, 5 year sample, 2012-2016",2018
Rce_AI,American Indian/non-Hispanic population,"American Community Survey, 5 year sample, 2012-2016",2018
Rce_AsnNH,Asian non-Hispanic population,"American Community Survey, 5 year sample, 2012-2016",2018
Rce_BlkNH,Black non-Hispanic pouplation,"American Community Survey, 5 year sample, 2012-2016",2018
Rce_Hisp,Hispanic/Latinx population,"American Community Survey, 5 year sample, 2012-2016",2018
Rce_HPI,Hawaiian/Pacific Islander population,"American Community Survey, 5 year sample, 2012-2016",2018
Rce_OthNH,Other race non-Hispanic,"American Community Survey, 5 year sample, 2012-2016",2018
Rce_WhtNH,White non-Hispanic population,"American Community Survey, 5 year sample, 2012-2016",2018
Rent30,Housing stressed: rent > 30% of income,"American Community Survey, 5 year sample, 2012-2016",2018
RentPop,Total population for rent/income ratio,"American Community Survey, 5 year sample, 2012-2016",2018
Sch_grad,Enrolled in grad school,"American Community Survey, 5 year sample, 2012-2016",2018
Sch_Kpre,Enrolled in nursery school and kindergarten,"American Community Survey, 5 year sample, 2012-2016",2018
Sch_totpop,Total population for education,"American Community Survey, 5 year sample, 2012-2016",2018
Sch_ugrad,Total in undergraduate,"American Community Survey, 5 year sample, 2012-2016",2018
TotPop,Total population estimate,"American Community Survey, 5 year sample, 2012-2016",2018
Trn_car,"Commute: used car, truck, or van alone","American Community Survey, 5 year sample, 2012-2016",2018
Trn_carpool,Commute: carpooled in car,"American Community Survey, 5 year sample, 2012-2016",2018
Trn_home,Commute: Worked at home,"American Community Survey, 5 year sample, 2012-2016",2018
Trn_noveh,Commute: no available vehicle,"American Community Survey, 5 year sample, 2012-2016",2018
Trn_pub,Commute: used public transit,"American Community Survey, 5 year sample, 2012-2016",2018
Trn_taxi,"Commute: other--taxi, motorcycle, or bicycle","American Community Survey, 5 year sample, 2012-2016",2018
Trn_totpop,Total population for means of transportation,"American Community Survey, 5 year sample, 2012-2016",2018
Trn_walk,Walked to work,"American Community Survey, 5 year sample, 2012-2016",2018
