School,est,var,description,type
Choice Zone-East,548.0359864982579,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Choice Zone-West,266.9565217391304,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Cleveland Road,68.84939858084104,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Fowler Drive,540.4404858299596,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Gaines,48.96570307126646,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Howard B Stroud,116.448704627545,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Judia Jackson Harris,162.51146746424178,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Oglethorpe,116.11355482073304,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Timothy Rd.,105.22763051766708,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Whit Davis,43.57366700963009,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Whitehead Rd.,107.20922772889223,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Winterville,76.26342161775234,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Alps Road,207.71047161436584,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Barnett Shoals,3038.4802032585512,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Barrow,328.62657148795205,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Chase Street,190.44818881395906,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Choice Zone-East,420.1435279422973,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Choice Zone-West,1937.1538537906026,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Cleveland Road,116.22793372209026,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Fowler Drive,155.33210693058857,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Gaines,140.3398067303907,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Howard B Stroud,259.2773890668419,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Judia Jackson Harris,110.24785019857505,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Oglethorpe,214.9270065785787,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Timothy Rd.,124.42803491836044,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Whit Davis,114.22569696143202,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Whitehead Rd.,126.5651453973218,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Winterville,114.11600122005301,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Alps Road,144.92577744760635,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Barnett Shoals,4374.416420992406,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Barrow,247.4393817245417,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Chase Street,124.09726512023231,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Choice Zone-East,625.7084697536931,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Choice Zone-West,5093.4631624413005,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Cleveland Road,92.4482779326978,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Fowler Drive,219.76229593226435,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Gaines,169.4591587072011,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Howard B Stroud,428.69926093050753,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Judia Jackson Harris,100.50798134135597,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Oglethorpe,318.66690412950464,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Timothy Rd.,89.44077356256061,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Whit Davis,125.2958741803216,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Whitehead Rd.,141.79812145975725,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Winterville,94.29611263730553,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Alps Road,170.47797600553892,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Barnett Shoals,3411.9610255738758,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Barrow,100.35962813054866,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Chase Street,91.66975893794344,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Choice Zone-East,1268.431357558691,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Choice Zone-West,4405.451982599273,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Cleveland Road,83.52874443465677,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Fowler Drive,381.61296441173135,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Gaines,71.98264671652962,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Howard B Stroud,242.5251484807255,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Judia Jackson Harris,99.93696754083213,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Oglethorpe,262.3471364953198,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Timothy Rd.,117.42010679742121,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Whit Davis,44.982226372562636,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Whitehead Rd.,131.23277940337476,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Winterville,84.63933220548253,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Alps Road,77,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Barnett Shoals,68,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Barrow,64,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Chase Street,82,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Choice Zone-East,70,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Choice Zone-West,80,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Cleveland Road,77,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Fowler Drive,66,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Gaines,63,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Howard B Stroud,51,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Judia Jackson Harris,78,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Oglethorpe,80,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Timothy Rd.,84,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Whit Davis,85,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Whitehead Rd.,86,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Winterville,85,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Alps Road,81,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Barnett Shoals,81,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Barrow,64,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Chase Street,78,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Choice Zone-East,74,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Choice Zone-West,77,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Cleveland Road,60,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Fowler Drive,65,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Gaines,73,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Howard B Stroud,56,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Judia Jackson Harris,63,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Oglethorpe,81,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Timothy Rd.,71,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Whit Davis,79,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Whitehead Rd.,76,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Winterville,69,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Alps Road,92,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Barnett Shoals,93,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Barrow,93,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Chase Street,95,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Choice Zone-East,91,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Choice Zone-West,93,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Cleveland Road,95,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Fowler Drive,83,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Gaines,92,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Howard B Stroud,86,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Judia Jackson Harris,96,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Oglethorpe,95,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Timothy Rd.,96,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Whit Davis,96,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Whitehead Rd.,98,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Winterville,96,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Alps Road,88,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Barnett Shoals,97,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Barrow,96,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Chase Street,94,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Choice Zone-East,89,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Choice Zone-West,89,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Cleveland Road,89,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Fowler Drive,87,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Gaines,90,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Howard B Stroud,91,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Judia Jackson Harris,91,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Oglethorpe,98,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Timothy Rd.,91,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Whit Davis,99,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Whitehead Rd.,97,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Winterville,89,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Alps Road,9,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Barnett Shoals,11,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Barrow,17,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Chase Street,6,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Choice Zone-East,12,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Choice Zone-West,6,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Cleveland Road,11,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Fowler Drive,8,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Gaines,15,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Howard B Stroud,20,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Judia Jackson Harris,5,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Oglethorpe,7,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Timothy Rd.,5,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Whit Davis,6,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Whitehead Rd.,5,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Winterville,3,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Alps Road,4,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Barnett Shoals,9,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Barrow,27,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Chase Street,10,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Choice Zone-East,8,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Choice Zone-West,10,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Cleveland Road,22,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Fowler Drive,12,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Gaines,11,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Howard B Stroud,31,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Judia Jackson Harris,14,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Oglethorpe,5,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Timothy Rd.,13,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Whit Davis,12,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Whitehead Rd.,13,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Winterville,12,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Alps Road,524388.5332167832,avg_appr_val,Average Appraisal Value,count
Alps Road,164045,med_appr_val,Median Appraisal Value,count
Alps Road,39.426877880665046,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Alps Road,18.31044440869279,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Barnett Shoals,421056.87219343695,avg_appr_val,Average Appraisal Value,count
Barnett Shoals,206433,med_appr_val,Median Appraisal Value,count
Barnett Shoals,74.15118830686478,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Barnett Shoals,14.225288053365675,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Barrow,1211075.6951321864,avg_appr_val,Average Appraisal Value,count
Barrow,369092,med_appr_val,Median Appraisal Value,count
Barrow,129.45212574227475,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Barrow,46.04340808200668,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Chase Street,678422.1294400963,avg_appr_val,Average Appraisal Value,count
Chase Street,273935,med_appr_val,Median Appraisal Value,count
Chase Street,44.42540490912647,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Chase Street,28.307516532232157,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Choice Zone-East,291985.17175375065,avg_appr_val,Average Appraisal Value,count
Choice Zone-East,193004,med_appr_val,Median Appraisal Value,count
Choice Zone-East,25.662320997423457,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Choice Zone-East,10.918507553328778,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Choice Zone-West,217268.80252859724,avg_appr_val,Average Appraisal Value,count
Choice Zone-West,179304,med_appr_val,Median Appraisal Value,count
Choice Zone-West,14.558083634686817,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Choice Zone-West,9.18733587968489,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Cleveland Road,346831.0050454087,avg_appr_val,Average Appraisal Value,count
Cleveland Road,213395,med_appr_val,Median Appraisal Value,count
Cleveland Road,29.58915137519783,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Cleveland Road,9.353822550107724,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Fowler Drive,275303.0661680092,avg_appr_val,Average Appraisal Value,count
Fowler Drive,131469,med_appr_val,Median Appraisal Value,count
Fowler Drive,4.193771693102143,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Fowler Drive,3.5991333827803516,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Gaines,246300.64838255977,avg_appr_val,Average Appraisal Value,count
Gaines,132402.5,med_appr_val,Median Appraisal Value,count
Gaines,78.3363882768211,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Gaines,17.952412648183966,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Howard B Stroud,323356.8050251256,avg_appr_val,Average Appraisal Value,count
Howard B Stroud,152255,med_appr_val,Median Appraisal Value,count
Howard B Stroud,45.86229812534857,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Howard B Stroud,25.622492784682326,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Judia Jackson Harris,185248.19305019305,avg_appr_val,Average Appraisal Value,count
Judia Jackson Harris,94770,med_appr_val,Median Appraisal Value,count
Judia Jackson Harris,3.0041058731750585,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Judia Jackson Harris,1.5976847136253232,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Oglethorpe,294276.84649610677,avg_appr_val,Average Appraisal Value,count
Oglethorpe,220709.5,med_appr_val,Median Appraisal Value,count
Oglethorpe,24.94467401214925,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Oglethorpe,10.50182446289092,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Timothy Rd.,481478.15237278445,avg_appr_val,Average Appraisal Value,count
Timothy Rd.,282522.5,med_appr_val,Median Appraisal Value,count
Timothy Rd.,47.25154026327483,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Timothy Rd.,12.840047446557605,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Whit Davis,267054.29076086957,avg_appr_val,Average Appraisal Value,count
Whit Davis,258290.5,med_appr_val,Median Appraisal Value,count
Whit Davis,8.311111023037864,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Whit Davis,7.408412549131188,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Whitehead Rd.,245429.78377372536,avg_appr_val,Average Appraisal Value,count
Whitehead Rd.,208512,med_appr_val,Median Appraisal Value,count
Whitehead Rd.,15.596961674859422,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Whitehead Rd.,8.263189476113547,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Winterville,330829.2225755167,avg_appr_val,Average Appraisal Value,count
Winterville,178241.5,med_appr_val,Median Appraisal Value,count
Winterville,5.69794277609534,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Winterville,4.7114461877935705,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Alps Road,0.4337347335745102,CONVENIENCE STORES,Third Closest Convenience Store,count
Alps Road,0.7098891112723094,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Alps Road,0.5243211529833833,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Alps Road,0.926618022850142,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Alps Road,0.9580069661008488,OFFICES OF DENTISTS,Third Closest Dentist,count
Alps Road,0.7653992291039728,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Alps Road,0.5268030919756339,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Alps Road,1.6593999486840747,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Alps Road,0.3411163635299351,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Alps Road,0.8098636091972748,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Alps Road,0.649300765010171,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Alps Road,0.6982838945712733,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Alps Road,0.6081210481551683,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Barnett Shoals,0.9026789142981866,CONVENIENCE STORES,Third Closest Convenience Store,count
Barnett Shoals,1.362115366515313,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Barnett Shoals,1.4555406147279977,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Barnett Shoals,1.0905663323930224,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Barnett Shoals,2.4738845245752903,OFFICES OF DENTISTS,Third Closest Dentist,count
Barnett Shoals,2.1868326869607855,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Barnett Shoals,1.7272168675338422,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Barnett Shoals,1.5359967789292623,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Barnett Shoals,0.6973553590075996,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Barnett Shoals,1.2713297964177328,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Barnett Shoals,1.8333489538462948,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Barnett Shoals,3.45156413293581,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Barnett Shoals,2.152057226072252,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Barrow,0.5385367610697593,CONVENIENCE STORES,Third Closest Convenience Store,count
Barrow,0.9863972453958124,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Barrow,1.117462937052264,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Barrow,0.63215072540245,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Barrow,1.0253655717499284,OFFICES OF DENTISTS,Third Closest Dentist,count
Barrow,1.2267988265913714,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Barrow,0.7745535026368398,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Barrow,1.956391546069576,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Barrow,0.3257100055773651,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Barrow,0.668242118350535,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Barrow,1.1728385878487562,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Barrow,1.8937940013435508,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
