Customer #,Full Name,DBA Name,Full Primary Address,Full Mailing Address,Work Phone #,NAICS Description
128247,FEARS TAX AND BUSINESS SERVICES LLC,FEARS TAX AND BUSINESS SERVICES LLC,2500 W BROAD ST STE 604 ATHENS  GA 30606,2500 W BROAD ST STE 604 ATHENS  GA 30606,(706) 540-3335,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
75255,HASLER JAMES A CPA PC,HASLER JAMES A CPA PC,565 RESEARCH DR ATHENS  GA 30605,565 RESEARCH DR ATHENS  GA 30605,(706) 548-1128,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
77997,HILL JERRY,HILL JERRY,150 SECURITY CIR ATHENS  GA 30605-4320,150 SECURITY CIR ATHENS  GA 30605-4320,(706) 549-9193,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
133100,HISPANIC CITY TAX AND SERVICE LP,HISPANIC CITY TAX AND SERVICE LP,1720 COMMERCE RD ATHENS  GA 30607,1720 COMMERCE RD ATHENS  GA 30607,(706) 461-1568,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
120737,HRB TAX GROUP INC,H&R BLOCK,3190 ATLANTA HWY STE 15 A ATHENS  GA 30606,1 H & R BLOCK WAY KANSAS CITY  MO 64105,(877) 880-5222 x 6,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
78229,HRB TAX GROUP INC 10879,HRB TAX GROUP INC 10879,128 ALPS RD ATHENS  GA 30606,0 ONE H & R BLOCK WAY KANSAS CITY  MO 64105,(816) 504-1827,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
78230,HRB TAX GROUP INC 10881,HRB TAX GROUP INC 10881,2301 COLLEGE STATION RD ATHENS  GA 30605-3619,0 ONE H & R BLOCK WAY KANSAS CITY  MO 64105,(706) 310-9523,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
76622,HRB TAX GROUP INC 11612,HRB TAX GROUP INC 11612,4375 LEXINGTON RD STE C3 ATHENS  GA 30605-7501,0 ONE H & R BLOCK WAY KANSAS CITY  MO 64105,(706) 543-5282,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
78724,ISAIAH ELLISON,ELLISON INCOME TAX SERVICES,1711 PRINCE AVE ATHENS  GA 30606,PO BOX 822 ATHENS  GA 30603,(706) 369-7147,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
78768,JAMES H FINGER,FINGER TAX SERV,346  IDYLWOOD DR ATHENS  GA 30605,346  IDYLWOOD DR ATHENS  GA 30605,(706) 543-1177,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
77396,JERKINS LOWE AND CO,JERKINS LOWE AND CO,700 OGLETHORPE AVE A-4 ATHENS  GA 30606-2221,PO BOX 1632 ATHENS  GA 30603,(706) 543-8205,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
78045,JOHN LORD & ASSOCIATES INC,JOHN LORD & ASSOCIATES INC,405 HUNTINGTON RD STE 105 ATHENS  GA 30606,PO BOX 6081 ATHENS  GA 30604,(706) 549-8569,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
77339,JOHN P FULLER CPA PC,JOHN P FULLER CPA PC,220 COLLEGE AVE #508 ATHENS  GA 30601,PO BOX 1986 ATHENS  GA 30603,(706) 543-3666,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
87839,KAREN DEAN,#1 EXPRESS TAX SERVICE,590 GAINES SCHOOL RD ATHENS  GA 30605,590 GAINES SCHOOL RD ATHENS  GA 30605,(706) 714-1375,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
78109,KELLEY PATRICK D,PATRICK D KELLEY,330 DOGWOOD DR ATHENS  GA 30606-4608,330 DOGWOOD DR ATHENS  GA 30606-4608,(706) 543-1147,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
133695,KRISTI JUNEAU CPA LLC,"KRISTI JUNEAU CPA, TAX & ACCOUNTING",296 W BROAD ST STE 2 ATHENS  GA 30601-2811,1111 FERNCREEK DR BOGART  GA 30622,(706) 431-0349,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
74625,LAWRENCE J EDMONDS,EDMONDS ENTERPRISES,1127 W HANCOCK AVE ATHENS  GA 30606,PO BOX 49386 ATHENS  GA 30604,(706) 247-8384,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
77805,LESTER WAYNE A,LESTER WAYNE A  / ACCOUNTANT,465 HUNTINGTON RD STE 140 ATHENS  GA 30606-1857,465 HUNTINGTON RD STE 140 ATHENS  GA 30606-1857,(706) 543-7008,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
127741,MARKET STREET PARTNERS PLLC,MARKET STREET PARTNERS PLLC,824 S MILLEDGE AVE SUITE 100 ATHENS  GA 30605,824 S MILLEDGE AVE SUITE 100 ATHENS  GA 30605,(706) 450-6500,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
81727,MASTERS TAX & FINANCIAL SERVICES LLC,MASTERS TAX & FINANCIAL SERVICES LLC,3020 LEXINGTON RD APT A ATHENS  GA 30605,3020 LEXINGTON RD APT A ATHENS  GA 30605,,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
77356,MELTZER ANGELA D  CPA,MELTZER ANGELA D  CPA,117 WESTVIEW DR ATHENS  GA 30606-4709,117 WESTVIEW DR ATHENS  GA 30606-4709,(706) 548-6803,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
77191,NATIONAL TAX INC,THE TAX SHELTER,630 HAWTHORNE AVE ATHENS  GA 30606-2508,630 HAWTHORNE AVE ATHENS  GA 30606-2508,(706) 353-1711,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
78585,NELSON ANNETTE A CPA,NELSON ANNETTE A CPA,320 E CLAYTON ST STE 514 ATHENS  GA 30601-4545,320 E CLAYTON ST STE 514 ATHENS  GA 30601-4545,(706) 543-3101,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
112725,NINA BORREMANS TAX & ACCOUNTING,NINA BORREMANS TAX & ACCOUNTING,142 FEATHERWOOD CT ATHENS  GA 30601,142 FEATHERWOOD CT ATHENS  GA 30601,(706) 340-7535,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
78572,PRIME FINANCIAL MANAGEMENT INC,PRIME FINANCIAL MANAGEMENT INC,320 UNIVERSITY DR ATHENS  GA 30605,PO BOX 5578 ATHENS  GA 30604-5578,(706) 552-0075,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
104414,RAPI SERVICES LLC,DANIEL AHART TAX SERVICE,3701 ATLANTA HWY UNIT 21 ATHENS  GA 30606,3701 ATLANTA HWY UNIT 21 ATHENS  GA 30606,(678) 661-0555,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
126215,SHERRY B TAX SERVICE,SHERRY B TAX SERVICE,180 JOE CAREY RD WINTERVILLE  GA 30683-4708,180 JOE CAREY RD WINTERVILLE  GA 30683-4708,(706) 351-0661,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
131537,SMART MOBILE TAX SERVICE LLC,SMART MOBILE TAX SERVICE,2500 W BROAD ST STE 510 ATHENS  GA 30606,256 WHITE CIR WINTERVILLE  GA 30683,(706) 206-1046,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
77372,SMITH ADCOCK AND CO,SMITH ADCOCK AND CO,400 HAWTHORNE LN STE A ATHENS  GA 30606-2173,400 HAWTHORNE LN STE A ATHENS  GA 30606-2173,(706) 353-8600,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
77518,STEPHENS THOMAS F  CPA PC,STEPHENS THOMAS F  CPA PC,855 SUNSET DR STE 5 ATHENS  GA 30606,855 SUNSET DR STE 2 ATHENS  GA 30606-2285,(706) 769-9671,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
128492,TAX RETURN CENTER OF GEORGIA,TAX RETURN CENTER OF GEORGIA,188 BEN BURTON CIR SUITE 300 BOGART  GA 30622,188 BEN BURTON CIR SUITE 300 BOGART  GA 30622,(706) 255-2911,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
126259,TAX SERVICES OF AMERICA INC,JACKSON HEWITT TAX SERVICE,4375 LEXINGTON RD ATHENS  GA 30605,PO BOX 941290 MAITLAND  FL 32794,(407) 691-0004,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
128447,TAX SERVICES OF AMERICA INC,JACKSON HEWITT TAX SERVICE,760 HAWTHORNE AVE UNIT B ATHENS  GA 30606,PO BOX 941290 MAITLAND  FL 32794,(407) 691-0004,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
132350,TAX SERVICES OF AMERICA INC,JACKSON HEWITT TAX SERVICE,1860 S BARNETT SHOALS RD STE 403 ATHENS  GA 30605,PO BOX 941290 MAITLAND  FL 32794,(407) 691-0004,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
90087,TMS SERVICES,TMS SERVICES,303 FIRST ST ATHENS  GA 30601-3027,PO BOX 823 ATHENS  GA 30603,(706) 338-6564,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
78108,TRINITY ACCOUNTING GROUP P.C,TRINITY ACCOUNTING GROUP P.C,1550 TIMOTHY RD STE 203 ATHENS  GA 30606,PO BOX 1983 ATHENS  GA 30603,(706) 546-1422,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
77976,TURNER AND PATAT PC,TURNER AND PATAT PC,1165 CEDAR SHOALS DR ATHENS  GA 30605-3592,1165 CEDAR SHOALS DR ATHENS  GA 30605-3592,(706) 354-1212,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
123933,W B H CONSULTING LLC,W B H CONSULTING,649 S MILLEDGE AVE ATHENS  GA 30605-1258,PO BOX 451 ATHENS  GA 30603,(706) 549-7480,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
78001,W-2 ACCOUNTING SERV INC,W-2 ACCOUNTING SERV INC,182 BEN BURTON CIR STE 900 BOGART  GA 30622,182 BEN BURTON CIR STE 900 BOGART  GA 30622,(706) 353-1766,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
79493,WARD OF GA INC,CALLAWAY & ASSOCIATES,279 MEIGS ST ATHENS  GA 30601,279 MEIGS ST ATHENS  GA 30601,(706) 353-1738,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
77379,WILLIAMS & GUINED   P.C.,WILLIAMS & GUINED   P.C.,375 GAINES SCHOOL RD ATHENS  GA 30605,375 GAINES SCHOOL RD ATHENS  GA 30605,(706) 546-5856,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
81874,WORLD FINANCE COMPANY OF GEORGIA LLC,WORLD FINANCE,3620 ATLANTA HWY SUITE 300 ATHENS  GA 30606,PO BOX 6429 GREENVILLE  SC 29606,(706) 613-5080,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
90085,WORLD FINANCE COMPANY OF GEORGIA LLC,WORLD FINANCE,680 US 29 HWY SUITE 225 ATHENS  GA 30601,PO BOX 6429 GREENVILLE  SC 29606,(706) 353-6463,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES"
74394,ADSMITH INC THE,ADSMITH INC THE,680 S MILLEDGE AVE ATHENS  GA 30605-1251,PO BOX 391 ATHENS  GA 30603,(706) 543-5555,ADVERTISING AGENCIES
97325,ATHENS EYE SURGERY CENTER LLC,ATHENS EYE SURGERY CENTER LLC,105 TRINITY PL SUITE B ATHENS  GA 30607,105 TRINITY PL SUITE B ATHENS  GA 30607,(706) 549-9993,ALL OTHER AMBULATORY HEALTH CARE SERVICES
134130,LIFE QUEST EMS LLC,LIFE QUEST EMS LLC,205 CLEVELAND RD STE A BOGART  GA 30622-6821,205 CLEVELAND RD STE A BOGART  GA 30622-6821,(404) 502-4914,ALL OTHER AMBULATORY HEALTH CARE SERVICES
115715,NATIONAL EMS INC,NATIONAL EMS INC,23200 N PIMA RD SUITE 210 SCOTTSDALE  AZ 85255,23200 N PIMA RD SUITE 210 SCOTTSDALE  AZ 85255,(706) 286-7007,ALL OTHER AMBULATORY HEALTH CARE SERVICES
91994,NGMT INC,NGMT INC,2026 S MILLEDGE AVE STE C ATHENS  GA 30605,PO BOX 2795 GAINESVILLE  GA 30503,(706) 543-1200,ALL OTHER AMBULATORY HEALTH CARE SERVICES
128936,SURGERY CENTER OF ATHENS LLC,SURGERY CENTER OF ATHENS,2142 W BROAD ST BLDG 100 STE 100 ATHENS  GA 30606,2142 W BROAD ST BLDG 100 STE 100 ATHENS  GA 30606,(423) 649-3300,ALL OTHER AMBULATORY HEALTH CARE SERVICES
98720,ATHENS SKATE INN LLC,ATHENS SKATE INN LLC,295 COMMERCE BLVD ATHENS  GA 30606,295 COMMERCE BLVD ATHENS  GA 30606,(706) 353-3113,ALL OTHER AMUSEMENT & RECREATION
130882,CARR CARNIVAL,CARR CARNIVAL,3898 ATLANTA HWY BOGART  GA 30622,1001 DUNLAP RD WINTERVILLE  GA 30683,(347) 535-7824,ALL OTHER AMUSEMENT & RECREATION
77696,LACY JOHNSON,FOREST LODGE,5000 SMOKEY RD ATHENS  GA 30601,4000 SMOKEY RD ATHENS  GA 30601,(706) 548-6199,ALL OTHER AMUSEMENT & RECREATION
131414,MODERN MIDWAYS INC,MODERN MIDWAYS,3700 ATLANTA HWY ATHENS  GA 30606-3193,22901 SHERMAN RD STEGER  IL 60475,(708) 670-7449,ALL OTHER AMUSEMENT & RECREATION
128629,SOUTHERN FESTIVAL MANAGEMENT LLC,SOUTHERN FESTIVAL MANAGEMENT LLC,420 E CLAYTON ST ATHENS  GA 30601,420 E CLAYTON ST ATHENS  GA 30601,(706) 591-4664,ALL OTHER AMUSEMENT & RECREATION
127404,SUBURBAN RESORT,SUBURBAN RESORT,2005 DANIELSVILLE RD ATHENS  GA 30601,2005 DANIELSVILLE RD ATHENS  GA 30601,,ALL OTHER AMUSEMENT & RECREATION
128679,VILLA DE GRAN,VILLA DE GRAN,101 NEWTON BRIDGE INDUSTRIAL WAY ATHENS  GA 30607,1031 RICHWOOD TRL BOGART  GA 30622,(706) 850-5761,ALL OTHER AMUSEMENT & RECREATION
132109,AYVN WELDING & FABRICATION LLC,AYVN WELDING & FABRICATION LLC,375 ASHTON DR ATHENS  GA 30606-1621,375 ASHTON DR ATHENS  GA 30606-1621,(706) 850-8995,ALL OTHER FABRICATED METAL PRODUCT MANUFACTURING
130442,"CLADDING & COMPONENT SOLUTIONS, INC","CLADDING & COMPONENT SOLUTIONS, INC",0 ATHENS-CLARKE COUNTY ATHENS  GA 30601,2705 NORTHGATE CT CUMMING  GA 30041,(770) 887-2777,ALL OTHER FABRICATED METAL PRODUCT MANUFACTURING
130446,ENGINEERED FABRICATION INC,ENGINEERED FABRICATION INC,140 VOYLES RD STE 200 ATHENS  GA 30601,PO BOX 383 WATKINSVILLE  GA 30677,,ALL OTHER FABRICATED METAL PRODUCT MANUFACTURING
77873,NAKANISHI MANUFACTURING CORP,NAKANISHI MANUFACTURING CORP,1225 VOYLES RD WINTERVILLE  GA 30683,1225 VOYLES RD WINTERVILLE  GA 30683,(706) 353-0006,ALL OTHER FABRICATED METAL PRODUCT MANUFACTURING
78450,STYLE LINE CORP INTL,STYLE LINE CORP INTL,200 CUSTOM PL ATHENS  GA 30606,200 CUSTOM PL ATHENS  GA 30606,(706) 354-6782,ALL OTHER FABRICATED METAL PRODUCT MANUFACTURING
78437,WWF INC,WWF,660  HANCOCK INDUSTRIAL WAY ATHENS  GA 30605,PO BOX 80435 ATHENS  GA 30608,(706) 613-7339,ALL OTHER FABRICATED METAL PRODUCT MANUFACTURING
133580,EAST GEORGIA LAND & INVESTMENTS LLC,EAST GEORGIA LAND & INVESTMENTS LLC,688 S MILLEDGE AVE STE 3 ATHENS  GA 30601,PO BOX 49311 ATHENS  GA 30604,(706) 410-0640,ALL OTHER FINANCIAL INVESTMENT ACTIVITIES
124535,EDWARD D JONES CO LP,EDWARD D JONES CO LP,690 HWY 29 STE 100 ATHENS  GA 30601,PO BOX 66719 ATTN BRANCH TAX #41861 ST LOUIS  MO 63166-6528,(706) 543-7952,ALL OTHER FINANCIAL INVESTMENT ACTIVITIES
80047,SYNOVUS TRUST CO N.A.,SYNOVUS TRUST CO N.A.,150 W HANCOCK AVE FLOOR 1 ATHENS  GA 30601,1111 BAY AVE STE 200 COLUMBUS  GA 31901,(706) 557-7115,ALL OTHER FINANCIAL INVESTMENT ACTIVITIES
114020,AJC CONCEPTS INC,CLASSIC DESIGNS GIFTS,200  WOODRIDGE CIR ATHENS  GA 30601,200  WOODRIDGE CIR ATHENS  GA 30601,(706) 340-1584,ALL OTHER GENERAL MERCHANDISE STORES
78033,BIG LOTS #1429,BIG LOTS #1429,3190 ATLANTA HWY ATHENS  GA 30606,4900 E DUBLIN GRANVILLE RD TAX DEPT COLUMBUS  OH 43081,(706) 227-9661,ALL OTHER GENERAL MERCHANDISE STORES
75505,DOLGENCORP LLC,DOLLAR GENERAL #13517,2411 JEFFERSON RD STE B ATHENS  GA 30607,100 MISSION RDG ATTN: TAX GOODLETTSVILLE  TN 37072-2171,(706) 354-4660,ALL OTHER GENERAL MERCHANDISE STORES
78599,DOLGENCORP LLC,DOLLAR GENERAL STORE #3547,1225 CEDAR SHOALS RD ATHENS  GA 30605,100 MISSION RDG ATTN: TAX GOODLETTSVILLE  TN 37072-2171,(706) 227-0844,ALL OTHER GENERAL MERCHANDISE STORES
78178,DOLGENCORP LLC,DOLLAR GENERAL STORE CORP#3023,4640 ATLANTA HWY BOGART  GA 30622,100 MISSION RDG TAX DEPT GOODLETTSVILLE  TN 37072-2171,(706) 549-7171,ALL OTHER GENERAL MERCHANDISE STORES
77823,DOLLAR TREE STORES   INC #020,DOLLAR TREE STORE #020,3565 ATLANTA HWY ATHENS  GA 30606-3152,500  VOLVO PKWY CHESAPEAKE  VA 23320,(706) 425-8973,ALL OTHER GENERAL MERCHANDISE STORES
75409,F O M INC,ELATIONS,4100 LEXINGTON RD ATHENS  GA 30605,1188  CENTRAL AVE EAST POINT  GA 30344,(706) 552-1492,ALL OTHER GENERAL MERCHANDISE STORES
78671,FAMILY DOLLAR STORES OF GEORGIA LLC,FAMILY DOLLAR STORE OF GA LLC #23055,4060 LEXINGTON RD ATHENS  GA 30605,500 VOLVO PKWY CHESAPEAKE  VA 23320,(706) 227-6059,ALL OTHER GENERAL MERCHANDISE STORES
77644,FAMILY DOLLAR STORES OF GEORGIA LLC,FAMILY DOLLAR STORES OF GA LLC #20103,335  NORTH AVE ATHENS  GA 30601,500 VOLVO PKWY CHESAPEAKE  VA 23320,(706) 549-9897,ALL OTHER GENERAL MERCHANDISE STORES
74777,FASHION NEWS,FASHION NEWS,488 NORTH AVE ATHENS  GA 30601,488 NORTH AVE ATHENS  GA 30601,(706) 353-2146,ALL OTHER GENERAL MERCHANDISE STORES
77935,SAMS EAST INC,SAMS CLUB #8194,4365 ATLANTA HWY ATHENS  GA 30606,702 SW    8TH ST DEPT 8916 BENTONVILLE  AR 72716-6209,(479) 204-2233,ALL OTHER GENERAL MERCHANDISE STORES
132896,TARGET CORPORATION,TARGET STORE T-3362,127 E BROAD ST ATHENS  GA 30601-2852,PO BOX 9471 MINNEAPOLIS  MN 55440-9471,(706) 715-3851,ALL OTHER GENERAL MERCHANDISE STORES
74717,TARGET CORPORATION,TARGET STORES T-1453,3065 ATLANTA HWY ATHENS  GA 30606,PO BOX 9471 MINNEAPOLIS  MN 55440-9471,(612) 761-2282,ALL OTHER GENERAL MERCHANDISE STORES
68466,WAL-MART STORES EAST LP,WAL-MART SUPERCENTER #2811,4375 LEXINGTON RD ATHENS  GA 30605,702 SW    8TH ST DEPT 8916 BENTONVILLE  AR 72716-6209,(479) 204-2128,ALL OTHER GENERAL MERCHANDISE STORES
77156,HARRISON & HARRISON INC,HARRISON & HARRISON INC,102 NEWTON BRIDGE RD ATHENS  GA 30607-1163,PO BOX 5635 ATHENS  GA 30604-5635,(706) 549-2555,ALL OTHER HEAVY CONSTRUCTION
80084,NORTHEAST GA CRANE & RIGGING S,NORTHEAST GA CRANE & RIGGING S,440 ATHENA DR ATHENS  GA 30605,1855  DICKERSON DR SE MABLETON  GA 30126,(404) 696-1522,ALL OTHER HEAVY CONSTRUCTION
124514,COCA-COLA BOTTLING COMPANY UNITED EAST LLC,COCA-COLA BOTTLING COMPANY UNITED EAST,650 ATHENA DR ATHENS  GA 30601-1607,4600 EAST LAKE BLVD BIRMINGHAM  AL 35217,(205) 841-2653,ALL OTHER MISCELLANEOUS MANUFACTURING
131884,DA MUNCHIEZZ,DA MUNCHIEZZ,1880 COMMERCE RD 110 ATHENS  GA 30607,1880 COMMERCE RD 110 ATHENS  GA 30607,(706) 201-3982,ALL OTHER MISCELLANEOUS MANUFACTURING
78541,EATON CORP SUPERCHARGER DIVISI,EATON CORP SUPERCHARGER DIVISI,695  INDIAN HILLS RD ATHENS  GA 30601,695  INDIAN HILLS RD ATHENS  GA 30601,(706) 543-5250,ALL OTHER MISCELLANEOUS MANUFACTURING
125212,KINDERCORE VINYL LLC,KINDERCORE VINYL LLC,147 FRITZ MAR LN ATHENS  GA 30606,147 FRITZ MAR LN ATHENS  GA 30606,(706) 372-6762,ALL OTHER MISCELLANEOUS MANUFACTURING
68354,L H LEATHERS INC,L H LEATHERS INC,530 NEWTON BRIDGE RD ATHENS  GA 30607,PO BOX 1765 ATHENS  GA 30603,(706) 549-5000,ALL OTHER MISCELLANEOUS MANUFACTURING
77561,MEDIKE LLC,MEDIKE LLC,1720 LEXINGTON RD STE D ATHENS  GA 30605,1720 LEXINGTON RD STE D ATHENS  GA 30605,(706) 543-9744,ALL OTHER MISCELLANEOUS MANUFACTURING
131621,RWDC INDUSTRIES LLC,RWDC INDUSTRIES LLC,110 VOYLES RD ATHENS  GA 30601-3907,2500 DANIELS BRIDGE RD ATHENS  GA 30606,(706) 363-3365 113,ALL OTHER MISCELLANEOUS MANUFACTURING
78807,SILGAN WHITE CAP CORPORATION,SILGAN WHITE CAP CORPORATION,150 VOYLES RD ATHENS  GA 30601-3907,150 VOYLES RD ATHENS  GA 30601-3907,(706) 552-3411,ALL OTHER MISCELLANEOUS MANUFACTURING
123439,U S FORMLINER INC,U S FORMLINER INC,380 COMMERCE BLVD ATHENS  GA 30606,380 COMMERCE BLVD ATHENS  GA 30606,(706) 549-6787,ALL OTHER MISCELLANEOUS MANUFACTURING
77666,ZOOMBAIT CO INC,ZOOMBAIT CO INC,1581 JENNINGS MILL RD WATKINSVILLE  GA 30677,1581 JENNINGS MILL RD WATKINSVILLE  GA 30677,(706) 548-1008,ALL OTHER MISCELLANEOUS MANUFACTURING
121385,3M MATTRESS LLC,METRO MATTRESS,3723 ATLANTA HWY ATHENS  GA 30606,155 ATHENS HWY LOGANVILLE  GA 30052,(770) 554-6288,ALL OTHER MISCELLANEOUS STORE RETAILERS
120200,A&M JAVA HUT INC,ATHENS JAVA HUT,3700 ATLANTA HWY K-11 ATHENS  GA 30606,3700 ATLANTA HWY K-11 ATHENS  GA 30606,(706) 548-7177,ALL OTHER MISCELLANEOUS STORE RETAILERS
133693,AAR LLC,RAJ BEAUTY SUPPLY,3190 ATLANTA HWY SUITE 22 ATHENS  GA 30606,3190 ATLANTA HWY SUITE 22 ATHENS  GA 30606,(706) 715-0531,ALL OTHER MISCELLANEOUS STORE RETAILERS
134060,ADOR'ROSE GLOSS AND BEAUTY BOUTIQUE LLC,ADOR'ROSE GLOSS AND BEAUTY BOUTIQUE LLC,205 OLD HULL RD APT B 7 ATHENS  GA 30601,205 OLD HULL RD APT B 7 ATHENS  GA 30601,(706) 338-1003,ALL OTHER MISCELLANEOUS STORE RETAILERS
