GEOID,var,est,moe,description,source
13059000401,HInsur_FBNC,431,160,Has health insurance foreign born non-citizen,"American Community Survey, 5 year sample, 2014-2018"
13059000401,HInsur_Nat,738,114,Has health insurance native born,"American Community Survey, 5 year sample, 2014-2018"
13059000401,HousOwn,38,27,Population in owner occupied housing,"American Community Survey, 5 year sample, 2014-2018"
13059000401,HousRent,1183,162,Population in renter occupied housing,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Inc_10K,206,59,"Household income < $10,000","American Community Survey, 5 year sample, 2014-2018"
13059000401,Inc_200K,0,13,"Household income > $200,000","American Community Survey, 5 year sample, 2014-2018"
13059000401,Inc100K_149K,16,13,"Household income $100,000 - $149,999","American Community Survey, 5 year sample, 2014-2018"
13059000401,Inc10K_24K,212,63,"Household income $10,000 - $24,999","American Community Survey, 5 year sample, 2014-2018"
13059000401,Inc150K_199K,15,24,"Houshold income $150,000 - $199,999","American Community Survey, 5 year sample, 2014-2018"
13059000401,Inc25K_49K,184,47,"Household income $25,000 - $49,999","American Community Survey, 5 year sample, 2014-2018"
13059000401,Inc50K_74K,50,36,"Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2014-2018"
13059000401,Inc75K_99K,16,21,"Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2014-2018"
13059000401,Ind_ag,0,13,"Population employed in agriculture, forestry, fishing, and hunting","American Community Survey, 5 year sample, 2014-2018"
13059000401,Ind_arts,56,33,"Population employed in arts, entertainment, and recreation","American Community Survey, 5 year sample, 2014-2018"
13059000401,Ind_const,5,8,Population employed in construction,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Ind_edhlth,464,86,"Population employed in educational services, health care, or social assistance","American Community Survey, 5 year sample, 2014-2018"
13059000401,Ind_finan,7,10,"Population employed in finance, insurance, and real estate","American Community Survey, 5 year sample, 2014-2018"
13059000401,Ind_info,0,13,Population employed in information,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Ind_manf,7,12,Population employed in manufacturing,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Ind_other,9,11,Population employed in other services,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Ind_prof,83,50,"Population employed in professional, scientific and management, administration, or waste services","American Community Survey, 5 year sample, 2014-2018"
13059000401,Ind_pubad,21,24,Population employed in public administration,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Ind_retail,36,20,Population employed in retail,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Ind_trans,13,21,"Population employed in transportation, warehousing, and utilites","American Community Survey, 5 year sample, 2014-2018"
13059000401,Ind_whlsl,0,13,Population employed in wholesale trade,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Inet_any,425,72,Internet: households with any subscription,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Inet_broad,378,65,Internet: households with broadband,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Pov_Ov65,31,25,Poverty over 65,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Pov_Und18,212,88,Poverty under 18,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Rce_AI,0,13,American Indian/non-Hispanic population,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Rce_AsnNH,489,174,Asian non-Hispanic population,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Rce_BlkNH,111,53,Black non-Hispanic pouplation,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Rce_Hisp,107,65,Hispanic/Latinx population,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Rce_HPI,0,13,Hawaiian/Pacific Islander population,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Rce_OthNH,0,13,Other race non-Hispanic,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Rce_WhtNH,597,125,White non-Hispanic population,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Rent30,387,80,Housing stressed: rent > 30% of income,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Sch_grad,426,92,Enrolled in grad school,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Sch_Kpre,38,30,Enrolled in nursery school and kindergarten,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Sch_ugrad,306,95,Total in undergraduate,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Trn_car,274,80,"Commute: used car, truck, or van alone","American Community Survey, 5 year sample, 2014-2018"
13059000401,Trn_carpool,50,22,Commute: carpooled in car,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Trn_home,28,22,Commute: Worked at home,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Trn_noveh,100,57,Commute: no available vehicle,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Trn_pub,198,59,Commute: used public transit,"American Community Survey, 5 year sample, 2014-2018"
13059000401,Trn_taxi,43,29,"Commute: other--taxi, motorcycle, or bicycle","American Community Survey, 5 year sample, 2014-2018"
13059000401,Trn_walk,69,33,Walked to work,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Age05,18,34,Age under 5 years,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Age18_24,4497,433,Age 18-64,"American Community Survey, 5 year sample, 2014-2018"
13059000402,AgeO65,3,63,Age 65 and older,"American Community Survey, 5 year sample, 2014-2018"
13059000402,AgeU18,53,60,Age under 18,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Ed_ba,75,71,Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Ed_hsgrad,41,47,Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Ed_lesshs,3,6,Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Ed_ma,11,10,Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Ed_prof_doc,4,20,Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Ed_somecol,69,47,Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Empl_labor,2178,242,Population in labor force,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Empl_unemp,441,143,Population unemployed,"American Community Survey, 5 year sample, 2014-2018"
13059000402,HInsur_FBNat,278,105,Has health insurance foreign born and naturalized,"American Community Survey, 5 year sample, 2014-2018"
13059000402,HInsur_FBNC,226,96,Has health insurance foreign born non-citizen,"American Community Survey, 5 year sample, 2014-2018"
13059000402,HInsur_Nat,7344,471,Has health insurance native born,"American Community Survey, 5 year sample, 2014-2018"
13059000402,HousOwn,0,19,Population in owner occupied housing,"American Community Survey, 5 year sample, 2014-2018"
13059000402,HousRent,656,129,Population in renter occupied housing,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Inc_10K,255,57,"Household income < $10,000","American Community Survey, 5 year sample, 2014-2018"
13059000402,Inc_200K,0,19,"Household income > $200,000","American Community Survey, 5 year sample, 2014-2018"
13059000402,Inc100K_149K,0,27,"Household income $100,000 - $149,999","American Community Survey, 5 year sample, 2014-2018"
13059000402,Inc10K_24K,84,36,"Household income $10,000 - $24,999","American Community Survey, 5 year sample, 2014-2018"
13059000402,Inc150K_199K,0,19,"Houshold income $150,000 - $199,999","American Community Survey, 5 year sample, 2014-2018"
13059000402,Inc25K_49K,10,33,"Household income $25,000 - $49,999","American Community Survey, 5 year sample, 2014-2018"
13059000402,Inc50K_74K,0,27,"Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2014-2018"
13059000402,Inc75K_99K,0,19,"Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2014-2018"
13059000402,Ind_ag,57,45,"Population employed in agriculture, forestry, fishing, and hunting","American Community Survey, 5 year sample, 2014-2018"
13059000402,Ind_arts,617,118,"Population employed in arts, entertainment, and recreation","American Community Survey, 5 year sample, 2014-2018"
13059000402,Ind_const,23,33,Population employed in construction,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Ind_edhlth,523,130,"Population employed in educational services, health care, or social assistance","American Community Survey, 5 year sample, 2014-2018"
13059000402,Ind_finan,15,18,"Population employed in finance, insurance, and real estate","American Community Survey, 5 year sample, 2014-2018"
13059000402,Ind_info,56,46,Population employed in information,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Ind_manf,4,6,Population employed in manufacturing,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Ind_other,80,61,Population employed in other services,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Ind_prof,49,41,"Population employed in professional, scientific and management, administration, or waste services","American Community Survey, 5 year sample, 2014-2018"
13059000402,Ind_pubad,28,49,Population employed in public administration,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Ind_retail,262,102,Population employed in retail,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Ind_trans,9,8,"Population employed in transportation, warehousing, and utilites","American Community Survey, 5 year sample, 2014-2018"
13059000402,Ind_whlsl,14,19,Population employed in wholesale trade,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Inet_any,312,42,Internet: households with any subscription,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Inet_broad,291,49,Internet: households with broadband,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Pov_Ov65,3,6,Poverty over 65,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Pov_Und18,21,28,Poverty under 18,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Rce_AI,0,19,American Indian/non-Hispanic population,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Rce_AsnNH,918,160,Asian non-Hispanic population,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Rce_BlkNH,886,183,Black non-Hispanic pouplation,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Rce_Hisp,359,146,Hispanic/Latinx population,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Rce_HPI,0,19,Hawaiian/Pacific Islander population,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Rce_OthNH,17,24,Other race non-Hispanic,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Rce_WhtNH,5701,458,White non-Hispanic population,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Rent30,241,56,Housing stressed: rent > 30% of income,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Sch_grad,137,104,Enrolled in grad school,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Sch_Kpre,0,27,Enrolled in nursery school and kindergarten,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Sch_ugrad,7901,476,Total in undergraduate,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Trn_car,181,77,"Commute: used car, truck, or van alone","American Community Survey, 5 year sample, 2014-2018"
13059000402,Trn_carpool,7,9,Commute: carpooled in car,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Trn_home,0,19,Commute: Worked at home,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Trn_noveh,34,26,Commute: no available vehicle,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Trn_pub,0,19,Commute: used public transit,"American Community Survey, 5 year sample, 2014-2018"
13059000402,Trn_taxi,3,5,"Commute: other--taxi, motorcycle, or bicycle","American Community Survey, 5 year sample, 2014-2018"
13059000402,Trn_walk,84,33,Walked to work,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Age05,232,127,Age under 5 years,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Age18_24,1426,314,Age 18-64,"American Community Survey, 5 year sample, 2014-2018"
13059000600,AgeO65,166,78,Age 65 and older,"American Community Survey, 5 year sample, 2014-2018"
13059000600,AgeU18,586,206,Age under 18,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Ed_ba,248,133,Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Ed_hsgrad,176,90,Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Ed_lesshs,161,90,Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Ed_ma,254,148,Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Ed_prof_doc,121,57,Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Ed_somecol,195,111,Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Empl_labor,1332,208,Population in labor force,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Empl_unemp,88,57,Population unemployed,"American Community Survey, 5 year sample, 2014-2018"
13059000600,HInsur_FBNat,85,89,Has health insurance foreign born and naturalized,"American Community Survey, 5 year sample, 2014-2018"
13059000600,HInsur_FBNC,115,89,Has health insurance foreign born non-citizen,"American Community Survey, 5 year sample, 2014-2018"
13059000600,HInsur_Nat,2876,358,Has health insurance native born,"American Community Survey, 5 year sample, 2014-2018"
13059000600,HousOwn,155,63,Population in owner occupied housing,"American Community Survey, 5 year sample, 2014-2018"
13059000600,HousRent,2389,325,Population in renter occupied housing,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Inc_10K,296,139,"Household income < $10,000","American Community Survey, 5 year sample, 2014-2018"
13059000600,Inc_200K,42,26,"Household income > $200,000","American Community Survey, 5 year sample, 2014-2018"
13059000600,Inc100K_149K,57,62,"Household income $100,000 - $149,999","American Community Survey, 5 year sample, 2014-2018"
13059000600,Inc10K_24K,327,142,"Household income $10,000 - $24,999","American Community Survey, 5 year sample, 2014-2018"
13059000600,Inc150K_199K,22,23,"Houshold income $150,000 - $199,999","American Community Survey, 5 year sample, 2014-2018"
13059000600,Inc25K_49K,359,103,"Household income $25,000 - $49,999","American Community Survey, 5 year sample, 2014-2018"
13059000600,Inc50K_74K,39,27,"Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2014-2018"
13059000600,Inc75K_99K,39,30,"Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2014-2018"
13059000600,Ind_ag,0,13,"Population employed in agriculture, forestry, fishing, and hunting","American Community Survey, 5 year sample, 2014-2018"
13059000600,Ind_arts,385,137,"Population employed in arts, entertainment, and recreation","American Community Survey, 5 year sample, 2014-2018"
13059000600,Ind_const,0,13,Population employed in construction,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Ind_edhlth,410,140,"Population employed in educational services, health care, or social assistance","American Community Survey, 5 year sample, 2014-2018"
13059000600,Ind_finan,45,61,"Population employed in finance, insurance, and real estate","American Community Survey, 5 year sample, 2014-2018"
13059000600,Ind_info,39,56,Population employed in information,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Ind_manf,41,47,Population employed in manufacturing,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Ind_other,114,87,Population employed in other services,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Ind_prof,93,47,"Population employed in professional, scientific and management, administration, or waste services","American Community Survey, 5 year sample, 2014-2018"
13059000600,Ind_pubad,10,15,Population employed in public administration,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Ind_retail,135,82,Population employed in retail,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Ind_trans,0,13,"Population employed in transportation, warehousing, and utilites","American Community Survey, 5 year sample, 2014-2018"
13059000600,Ind_whlsl,10,15,Population employed in wholesale trade,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Inet_any,948,118,Internet: households with any subscription,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Inet_broad,850,125,Internet: households with broadband,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Pov_Ov65,166,78,Poverty over 65,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Pov_Und18,582,245,Poverty under 18,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Rce_AI,0,13,American Indian/non-Hispanic population,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Rce_AsnNH,273,147,Asian non-Hispanic population,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Rce_BlkNH,1200,410,Black non-Hispanic pouplation,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Rce_Hisp,116,88,Hispanic/Latinx population,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Rce_HPI,0,13,Hawaiian/Pacific Islander population,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Rce_OthNH,0,13,Other race non-Hispanic,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Rce_WhtNH,1647,278,White non-Hispanic population,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Rent30,499,150,Housing stressed: rent > 30% of income,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Sch_grad,326,124,Enrolled in grad school,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Sch_Kpre,46,57,Enrolled in nursery school and kindergarten,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Sch_ugrad,1108,217,Total in undergraduate,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Trn_car,789,218,"Commute: used car, truck, or van alone","American Community Survey, 5 year sample, 2014-2018"
13059000600,Trn_carpool,25,30,Commute: carpooled in car,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Trn_home,29,24,Commute: Worked at home,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Trn_noveh,101,80,Commute: no available vehicle,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Trn_pub,42,43,Commute: used public transit,"American Community Survey, 5 year sample, 2014-2018"
13059000600,Trn_taxi,36,41,"Commute: other--taxi, motorcycle, or bicycle","American Community Survey, 5 year sample, 2014-2018"
13059000600,Trn_walk,258,108,Walked to work,"American Community Survey, 5 year sample, 2014-2018"
13059000900,Age05,187,115,Age under 5 years,"American Community Survey, 5 year sample, 2014-2018"
13059000900,Age18_24,1095,479,Age 18-64,"American Community Survey, 5 year sample, 2014-2018"
13059000900,AgeO65,365,104,Age 65 and older,"American Community Survey, 5 year sample, 2014-2018"
13059000900,AgeU18,672,196,Age under 18,"American Community Survey, 5 year sample, 2014-2018"
13059000900,Ed_ba,145,76,Highest educational attainment: Bachelor's degree,"American Community Survey, 5 year sample, 2014-2018"
13059000900,Ed_hsgrad,548,186,Highest educational attainment: High school diploma or GED,"American Community Survey, 5 year sample, 2014-2018"
13059000900,Ed_lesshs,478,161,Highest educational attainment: Less than high school graduate,"American Community Survey, 5 year sample, 2014-2018"
13059000900,Ed_ma,110,67,Highest educational attainment: MA degree,"American Community Survey, 5 year sample, 2014-2018"
13059000900,Ed_prof_doc,34,32,Highest educational attainment: Professional degree/Doctorate,"American Community Survey, 5 year sample, 2014-2018"
13059000900,Ed_somecol,527,170,Highest educational attainment: Some college or Associate's Degree,"American Community Survey, 5 year sample, 2014-2018"
13059000900,Empl_labor,1817,383,Population in labor force,"American Community Survey, 5 year sample, 2014-2018"
13059000900,Empl_unemp,193,118,Population unemployed,"American Community Survey, 5 year sample, 2014-2018"
13059000900,HInsur_FBNat,6,10,Has health insurance foreign born and naturalized,"American Community Survey, 5 year sample, 2014-2018"
13059000900,HInsur_FBNC,84,71,Has health insurance foreign born non-citizen,"American Community Survey, 5 year sample, 2014-2018"
13059000900,HInsur_Nat,2854,485,Has health insurance native born,"American Community Survey, 5 year sample, 2014-2018"
13059000900,HousOwn,685,253,Population in owner occupied housing,"American Community Survey, 5 year sample, 2014-2018"
13059000900,HousRent,2771,638,Population in renter occupied housing,"American Community Survey, 5 year sample, 2014-2018"
13059000900,Inc_10K,326,129,"Household income < $10,000","American Community Survey, 5 year sample, 2014-2018"
13059000900,Inc_200K,25,25,"Household income > $200,000","American Community Survey, 5 year sample, 2014-2018"
13059000900,Inc100K_149K,34,40,"Household income $100,000 - $149,999","American Community Survey, 5 year sample, 2014-2018"
13059000900,Inc10K_24K,494,170,"Household income $10,000 - $24,999","American Community Survey, 5 year sample, 2014-2018"
13059000900,Inc150K_199K,13,20,"Houshold income $150,000 - $199,999","American Community Survey, 5 year sample, 2014-2018"
13059000900,Inc25K_49K,374,125,"Household income $25,000 - $49,999","American Community Survey, 5 year sample, 2014-2018"
13059000900,Inc50K_74K,141,98,"Household income $50,000 - $74,999","American Community Survey, 5 year sample, 2014-2018"
13059000900,Inc75K_99K,14,21,"Houshold income $75,000 - $99,999","American Community Survey, 5 year sample, 2014-2018"
